,depth_10_count,depth_1_count,depth_2_count,depth_3_count,depth_4_count,depth_5_count,depth_6_count,depth_7_count,depth_8_count,depth_9_count,total_go_terms
PPP2R5C,0,0,0,0,0,2,0,0,0,0,2
YWHAZ,0,0,2,0,0,1,1,0,1,0,5
YWHAG,0,0,2,0,0,2,1,0,0,0,5
PDE6G,0,0,0,1,1,0,1,0,0,0,3
SMC3,0,0,0,1,0,1,0,0,0,0,2
CD79B,0,0,0,2,0,0,1,0,0,0,3
PPP1CC,0,0,3,0,1,1,1,1,0,0,7
MPHOSPH6,0,0,0,0,0,1,0,0,0,0,1
NFKBIA,0,0,1,2,0,1,0,0,0,0,4
SMC1A,0,0,0,1,0,1,0,0,0,0,2
INPP5D,0,0,1,1,1,1,0,0,0,0,4
ANAPC11,0,0,0,0,0,1,0,0,0,0,1
SOS1,0,0,1,2,0,0,0,0,0,0,3
GSK3B,0,0,4,2,0,4,0,0,0,0,10
CHP2,0,0,1,1,0,1,0,0,0,0,3
ADCY7,0,0,1,1,0,0,0,0,0,0,2
SKIV2L2,0,0,0,0,0,2,0,1,0,0,3
SPDYC,0,0,1,0,0,1,0,0,0,0,2
NT5C3,0,0,1,0,0,1,0,0,0,0,2
NFKB1,0,0,2,1,1,1,0,0,0,0,5
EDC3,0,0,1,0,0,0,1,1,0,0,3
PPP3CA,0,0,3,2,2,0,0,0,0,0,7
LILRB3,0,0,0,1,0,0,1,0,0,0,2
PAICS,0,0,2,0,0,0,1,0,0,0,3
GUCY2D,0,0,0,1,2,0,2,0,0,0,5
POLR2C,0,0,0,0,0,1,0,0,0,0,1
REC8,0,0,0,1,0,1,0,1,0,0,3
PPP2CB,0,0,2,1,0,1,0,0,0,0,4
CAMK2A,0,0,1,0,2,2,1,0,0,0,6
NFATC1,0,0,4,0,0,1,0,0,0,0,5
PAPSS1,0,0,0,0,0,1,0,0,0,0,1
IRAK4,0,0,2,2,0,1,1,0,0,0,6
CCNE2,0,0,2,0,0,1,0,0,2,0,5
XDH,0,0,1,0,0,0,1,0,0,0,2
PDE6A,0,0,0,1,1,0,1,0,0,0,3
PRPS2,0,0,1,0,0,0,0,0,0,0,1
PTPN6,0,0,3,1,0,1,1,0,0,0,6
DFFA,0,1,0,1,0,1,0,0,0,0,3
CR2,0,0,2,1,0,0,1,0,0,0,4
JUN,0,0,1,2,1,1,0,0,0,0,5
FOS,0,0,2,1,1,2,0,0,0,0,6
NME7,0,0,2,2,0,2,0,0,0,0,6
IRAK2,0,0,1,1,0,1,1,0,0,0,4
DDX6,0,0,2,1,0,1,1,1,0,0,6
PKLR,0,0,1,0,0,1,1,0,0,0,3
PATL1,0,0,0,0,0,0,2,1,0,0,3
POLR3G,0,0,0,0,0,1,0,0,0,0,1
POLR2D,0,0,0,0,0,1,0,0,0,0,1
SKP1,0,0,1,1,0,1,0,0,0,0,3
NT5C2,0,0,1,0,0,0,0,0,0,0,1
PDE6H,0,0,0,0,0,0,1,0,0,0,1
CPEB1,0,0,2,1,2,2,0,1,0,0,8
ANAPC4,0,0,1,0,0,1,0,0,0,0,2
PPP2CA,0,0,2,2,1,1,1,0,0,0,7
PRHOXNB,0,0,0,0,0,0,1,0,0,0,1
NME6,0,0,0,0,0,2,0,0,0,0,2
CD79A,0,0,0,2,1,0,0,0,0,0,3
PARN,0,0,1,0,0,1,0,0,0,0,2
EXOSC3,0,0,2,0,0,2,1,0,0,0,5
RPS6KA3,0,0,1,1,0,0,0,0,0,0,2
PPP2R5E,0,0,1,0,0,2,0,0,0,0,3
CNOT10,0,0,1,0,0,1,0,0,0,0,2
CDC20,0,0,1,2,0,0,0,0,0,0,3
PRKAR2A,0,0,3,2,0,1,2,0,0,0,8
TNFRSF10D,0,0,1,1,0,0,0,0,0,0,2
ATM,0,0,1,1,2,2,0,0,0,0,6
ADCY8,0,0,1,2,3,2,0,1,0,0,9
PKM2,0,0,2,0,1,2,2,0,0,0,7
IL1A,0,0,2,0,0,1,0,0,0,0,3
MAPK1,0,0,2,3,0,3,0,0,0,0,8
PIK3R1,0,0,3,1,1,3,0,1,0,0,9
POLR2J2,0,0,0,0,0,0,0,0,1,0,1
NME4,0,0,0,0,0,2,1,0,0,0,3
TRAF2,0,0,1,1,4,1,1,0,0,0,8
FBXO5,0,0,1,0,0,1,0,0,0,0,2
ENTPD2,0,0,0,1,2,0,1,0,0,0,4
EHBP1,0,0,0,1,0,0,0,1,0,0,2
ATP10D,0,0,1,1,1,1,0,0,0,0,4
ROCK1,0,0,2,1,1,2,0,1,0,0,7
CACNA1I,0,0,0,1,0,0,0,1,0,0,2
RELB,0,0,2,2,0,1,0,0,0,0,5
BANF1,0,0,1,1,0,1,0,0,0,0,3
GLUD1,0,0,1,0,0,2,0,0,0,0,3
CHD7,0,0,1,0,0,1,0,0,0,0,2
KPNA4,0,0,1,1,1,1,0,0,0,0,4
MGAM,0,0,0,1,1,0,1,2,0,0,5
CNOT8,0,0,0,1,0,1,0,1,0,0,3
CARD11,0,0,2,1,1,0,1,0,0,0,5
IL3RA,0,0,1,2,0,0,0,0,0,0,3
RELA,0,0,2,1,1,1,0,0,0,0,5
CNOT1,0,0,2,1,0,1,0,1,0,0,5
MYD88,0,0,1,2,1,1,1,0,0,0,6
CHP,0,0,1,1,1,4,1,0,0,0,8
SPDYA,0,0,0,0,0,1,0,0,0,0,1
CAMK2G,0,0,2,1,2,1,1,0,0,0,7
PRUNE,0,0,1,0,0,2,0,0,0,0,3
NAA38,0,0,1,0,0,1,0,0,0,0,2
PDE10A,0,0,0,0,0,0,0,1,0,0,1
GUCY2C,0,0,0,1,1,0,0,0,0,0,2
PPP1CB,0,0,1,0,0,2,1,0,0,0,4
MAD2L2,0,0,2,1,0,2,0,0,0,0,5
CD22,0,0,3,3,0,0,1,0,2,0,9
YWHAH,0,0,2,1,0,0,2,0,0,0,5
DCP1B,0,0,1,0,1,1,0,1,0,0,4
IKBKB,0,0,1,0,2,2,0,1,0,0,6
PPP3R2,0,0,2,0,1,2,0,0,0,0,5
PDCD1LG2,0,0,2,2,0,0,0,0,0,0,4
FCRL4,0,0,0,1,0,0,0,0,0,0,1
CTDNEP1,0,0,1,0,2,0,0,0,0,0,3
KLHL38,0,0,1,0,0,0,1,0,0,0,2
TLR7,0,0,1,1,1,2,1,1,1,0,8
CD37,0,0,1,1,0,0,1,0,0,0,3
ACTR1A,0,0,1,2,0,0,1,0,0,0,4
SPN,0,0,4,2,1,1,2,0,0,0,10
HCLS1,0,0,2,1,0,2,0,1,0,0,6
CLEC12B,0,0,0,1,0,0,0,0,0,0,1
IL2RB,0,0,1,2,0,0,0,0,0,0,3
STK17B,0,0,0,1,0,2,0,0,0,0,3
ACTRT3,0,0,1,0,0,0,1,1,0,0,3
FLT1,0,0,1,1,0,0,0,1,0,0,3
SPEG,0,0,0,0,0,1,0,0,0,0,1
FCER2,0,0,0,2,0,0,1,0,0,0,3
CD27,0,0,1,2,0,0,0,0,0,0,3
BTN3A3,0,0,1,2,1,0,0,0,0,0,4
MAGEA3,0,0,0,0,0,2,0,0,0,0,2
KLHL8,0,0,1,0,0,0,0,0,0,0,1
UBE2Q1,0,0,1,0,0,2,0,0,0,0,3
RNF114,0,0,0,1,0,1,0,0,0,0,2
FBXL15,0,0,1,0,0,0,0,0,0,0,1
HLF,0,0,0,1,0,1,0,0,0,0,2
SPG21,0,0,0,0,1,1,1,0,0,1,4
CAP2,0,0,1,1,0,0,0,0,0,0,2
UBE2D4,0,0,0,0,0,1,0,0,0,0,1
CDC34,0,0,0,0,0,1,0,0,0,0,1
BCL9,0,0,0,0,0,1,0,0,0,0,1
CPD,0,0,2,1,0,0,1,0,0,0,4
COIL,0,0,1,0,0,1,0,0,0,0,2
CA12,0,0,1,1,2,0,0,0,0,0,4
RIF1,0,0,5,1,2,1,1,2,0,0,12
DDX5,0,0,2,0,0,1,1,0,0,0,4
USP11,0,0,0,0,0,2,0,0,0,0,2
FBXO9,0,0,1,0,0,0,0,0,0,0,1
NPRL2,0,0,0,0,0,1,0,1,0,0,2
RBM22,0,0,2,0,0,2,0,0,0,0,4
UBOX5,0,0,0,0,0,1,0,0,0,0,1
THOC2,0,0,1,0,0,1,0,1,0,0,3
ABCF2,0,0,1,1,0,0,0,0,0,0,2
PSMA3,0,0,1,0,0,1,1,0,0,0,3
QPCTL,0,0,1,0,0,2,0,0,0,0,3
RBX1,0,0,1,0,0,1,0,0,0,0,2
KLHL20,0,0,2,0,1,3,0,0,0,0,6
PDCD2L,0,0,2,0,0,0,0,0,0,0,2
IL9R,0,0,1,2,0,0,0,0,0,0,3
THAP7,0,0,1,0,2,1,0,0,0,0,4
PAPOLA,0,0,1,0,0,1,0,0,0,0,2
ADAM7,0,0,0,1,0,0,0,0,0,0,1
UBE3A,0,0,1,0,0,1,0,0,0,0,2
MYH2,0,0,2,1,1,1,1,0,0,0,6
KEAP1,0,0,1,0,0,1,0,0,0,0,2
STUB1,0,0,2,1,2,2,0,0,0,0,7
PANK3,0,0,0,0,0,1,0,0,0,0,1
PSMD8,0,0,0,0,0,1,0,0,0,0,1
PSMD7,0,0,2,0,0,1,1,0,0,0,4
USP5,0,0,2,0,0,1,0,1,0,0,4
HIF3A,0,0,1,1,0,1,0,1,0,0,4
OGDH,0,0,0,0,1,2,0,0,0,0,3
POU4F3,0,0,1,0,0,1,0,0,0,0,2
PSMD10,0,0,1,0,0,2,0,0,0,0,3
GAPDH,0,0,3,1,2,1,1,0,0,0,8
AKR7A2,0,0,1,0,0,1,1,0,0,0,3
MAPK14,0,0,2,0,0,1,0,0,0,0,3
CCDC92,0,0,1,1,1,0,0,0,0,0,3
CAT,0,0,3,0,2,2,2,1,0,0,10
EPOR,0,0,1,2,0,0,0,0,0,0,3
TMEM38A,0,0,0,0,1,1,1,0,0,0,3
PIN1,0,0,1,1,0,1,0,1,0,0,4
PSME2,0,0,3,0,0,0,1,0,0,0,4
PGLYRP1,0,0,2,0,0,0,1,0,0,0,3
PSMA2,0,0,2,0,0,1,1,0,0,0,4
PSMA4,0,0,1,0,1,1,1,0,0,0,4
PSMC4,0,0,2,0,0,1,0,0,0,0,3
RALA,0,0,1,1,1,1,1,0,0,0,5
HSPB11,0,0,1,1,1,0,0,0,0,0,3
NR3C1,0,0,2,2,0,3,0,0,0,0,7
TWIST1,0,0,0,0,0,1,0,0,0,0,1
USF2,0,0,0,0,1,1,0,0,0,0,2
PROCR,0,0,3,2,0,0,1,0,0,0,6
RTN2,0,0,0,0,3,2,0,0,0,0,5
KAT2A,0,0,2,1,0,1,1,0,1,0,6
CEBPE,0,0,0,2,0,1,0,0,0,0,3
SLC2A3,0,0,3,1,0,0,2,3,0,0,9
PLAGL2,0,0,0,0,0,1,0,0,0,0,1
JADE1,0,0,2,2,0,1,0,0,0,0,5
AHR,0,1,1,1,0,1,0,0,0,0,4
SOX9,0,0,0,0,0,1,0,0,0,0,1
SOX4,0,0,1,0,0,1,0,0,0,0,2
RNF17,0,0,1,0,0,1,0,0,0,0,2
BRD1,0,0,0,0,0,1,0,0,0,0,1
DNAJC17,0,0,1,1,0,0,0,0,0,0,2
MLH1,0,0,1,1,0,1,0,1,0,0,4
KRT9,0,0,2,0,0,2,1,1,0,0,6
DDX49,0,0,0,0,0,2,0,0,0,0,2
APOH,0,0,3,0,0,2,2,0,0,0,7
MORC1,0,0,0,0,0,1,0,1,0,0,2
TBPL1,0,0,1,0,0,0,0,1,0,0,2
ACR,0,0,2,0,0,1,0,1,0,0,4
RHOXF1,0,0,0,0,0,1,0,0,0,0,1
RIPK3,0,0,1,0,0,1,0,0,0,0,2
KRT13,0,0,0,0,0,2,1,0,0,0,3
SNRPD3,0,0,0,2,1,5,0,0,0,0,8
EEF1A2,0,0,1,0,2,0,0,0,0,0,3
TBL1X,0,0,0,0,0,1,0,0,0,0,1
WDR77,0,0,1,0,0,2,0,0,0,0,3
ZFP64,0,0,1,0,0,1,1,0,0,0,3
PFN1,0,0,2,0,0,2,1,0,0,0,5
PFN2,0,0,1,0,0,1,1,0,0,0,3
CKM,0,0,1,0,0,0,0,0,0,0,1
CAMK1G,0,0,1,1,0,1,0,0,0,0,3
AGO2,0,0,2,0,0,1,2,0,0,0,5
MAPK13,0,0,1,0,0,1,0,0,0,0,2
ATP12A,0,0,0,1,2,0,0,0,0,0,3
EXOSC5,0,0,2,0,0,3,1,0,0,0,6
CTSG,0,0,3,1,0,1,1,2,0,0,8
GSTA3,0,0,0,0,0,0,1,0,0,0,1
GZMB,0,0,3,0,0,1,0,0,0,0,4
GZMH,0,0,2,0,0,0,0,0,1,0,3
ATAD2B,0,0,0,0,0,1,0,0,0,0,1
DDX39A,0,0,2,0,0,1,0,0,0,0,3
FSTL3,0,0,2,0,0,2,0,0,0,0,4
PIWIL1,0,0,1,0,0,1,0,0,0,0,2
MKKS,0,0,2,1,1,2,0,0,0,0,6
GSR,0,0,0,1,0,1,1,0,0,0,3
NIPSNAP1,0,0,0,0,1,1,0,0,0,0,2
RNF103,0,0,1,0,1,1,0,0,0,0,3
TEX14,0,0,2,0,0,0,1,0,0,0,3
RAB40AL,0,0,1,1,0,0,0,1,0,1,4
PPP1R3F,0,0,1,0,0,1,0,0,0,0,2
SETX,0,0,2,1,0,2,0,0,0,0,5
TRIP13,0,0,0,0,0,2,0,1,0,0,3
PPP1R3C,0,0,0,0,0,1,0,0,0,0,1
EHHADH,0,0,0,0,0,0,1,0,0,0,1
TEKT2,0,0,0,0,0,1,1,0,0,0,2
GSTM2,0,0,2,0,0,0,2,0,0,0,4
PYROXD1,0,0,0,0,0,1,0,0,0,0,1
DDX55,0,0,1,0,0,0,0,0,0,0,1
GNB4,0,0,1,0,1,0,1,1,0,0,4
GNB3,0,0,1,1,1,0,1,0,0,0,4
DRD4,0,0,2,2,0,1,0,0,0,0,5
EHD4,0,0,3,1,0,2,1,3,1,0,11
GCDH,0,0,0,0,0,1,0,0,0,0,1
RPN2,0,0,1,0,1,1,0,0,0,0,3
ANGPTL1,0,0,1,0,0,0,1,0,0,0,2
SLC25A3,0,0,1,1,0,1,1,0,0,0,4
ACADS,0,0,0,0,0,2,0,0,0,0,2
ACADL,0,0,1,0,1,1,0,0,0,0,3
TNP1,0,0,0,0,0,1,0,1,0,0,2
PRPF19,0,0,2,1,0,4,0,0,0,0,7
MKRN2,0,0,1,0,0,1,0,0,0,0,2
TUBB1,0,0,2,0,0,0,2,0,0,0,4
RAB22A,0,0,1,1,2,1,2,1,1,0,9
SALL4,0,0,1,0,1,1,0,0,0,0,3
FIS1,0,0,1,0,0,0,2,1,0,0,4
DHX33,0,0,1,0,0,1,0,0,0,0,2
MYH1,0,0,1,1,0,1,1,0,0,0,4
MYH9,0,0,2,1,1,2,1,0,0,0,7
ST13,0,0,1,0,0,0,1,0,0,0,2
YTHDC2,0,0,1,0,0,1,0,0,0,0,2
PABPN1,0,0,1,0,0,1,0,0,0,0,2
TNN,0,0,1,0,1,0,0,0,0,0,2
TRAP1,0,0,1,0,0,3,1,0,0,0,5
RNF10,0,0,1,0,0,1,1,1,0,0,4
RNF11,0,0,0,0,0,1,1,0,2,0,4
SRSF9,0,0,0,0,0,0,0,1,0,0,1
PSD,0,0,0,0,0,1,1,0,0,0,2
GNPTG,0,0,0,0,0,3,1,0,0,0,4
PPP2R5B,0,0,2,0,0,2,0,0,0,0,4
SGTA,0,0,3,1,0,1,0,0,0,0,5
RPS12,0,0,2,0,1,2,1,0,0,0,6
B4GALT7,0,0,1,0,1,2,0,0,0,0,4
LRP11,0,0,0,1,0,0,0,0,0,0,1
TNS1,0,0,2,0,0,1,0,0,0,0,3
TRIM23,0,0,1,1,0,2,0,1,0,0,5
GLA,0,0,3,0,1,3,1,1,0,0,9
UBA2,0,0,1,0,0,0,0,0,0,0,1
DMC1,0,0,2,0,1,4,1,2,0,0,10
SIRT4,0,0,0,0,0,2,0,0,0,0,2
LTA4H,0,0,1,0,0,1,1,0,0,0,3
RAB35,0,0,1,1,1,0,2,1,2,0,8
EMC2,0,0,1,0,2,1,0,0,0,0,4
NCK2,0,0,1,0,1,1,0,0,0,0,3
RNF115,0,0,1,0,0,3,0,0,0,0,4
SMAD6,0,0,1,0,1,2,0,0,0,0,4
SMAD7,0,0,1,2,1,1,0,0,0,0,5
SMAD3,0,0,4,1,2,2,0,0,0,0,9
TCEA2,0,0,0,1,0,1,0,0,0,0,2
TCEA3,0,0,0,0,0,1,0,0,0,0,1
TCEA1,0,0,0,0,0,1,0,0,0,0,1
SHOX2,0,0,0,0,0,1,0,0,0,0,1
ZNF57,0,0,0,0,0,1,0,0,0,0,1
KHDRBS1,0,0,2,0,0,1,0,0,0,0,3
KHDRBS3,0,0,0,0,0,1,0,0,0,0,1
KIAA1191,0,0,1,0,0,0,0,0,0,0,1
ZNF7,0,0,0,0,0,1,0,0,0,0,1
AP2A1,0,0,1,1,3,0,2,0,2,1,10
BNIP3L,0,0,1,0,0,2,1,0,0,0,4
RNF135,0,0,1,0,0,0,0,1,0,0,2
RNF139,0,0,3,1,1,1,0,0,0,0,6
CHMP3,0,0,1,2,0,1,3,2,3,1,13
SMAD4,0,0,3,1,2,1,0,0,0,0,7
DDIT3,0,0,4,2,2,1,0,0,0,0,9
SMAD2,0,1,3,1,3,1,0,0,0,0,9
ASF1A,0,0,0,0,0,1,0,0,0,0,1
PIKFYVE,0,0,1,0,2,1,2,3,0,0,9
POLRMT,0,0,0,0,0,3,0,1,0,0,4
GGA1,0,1,2,0,2,1,1,1,0,0,8
GGA2,0,0,0,0,1,1,1,1,0,0,4
PSMB4,0,0,2,1,0,1,1,0,0,0,5
TRAT1,0,0,0,1,0,0,0,0,0,0,1
CRYM,0,0,1,0,0,1,1,0,0,0,3
EVI2A,0,0,0,1,1,1,0,0,0,0,3
GTF2F1,0,1,0,0,2,1,0,0,0,0,4
INTS1,0,0,1,1,1,1,0,0,0,0,4
RALBP1,0,0,2,1,0,0,0,0,0,0,3
RAP1B,0,0,1,1,0,0,1,0,1,0,4
RNF151,0,0,1,0,0,1,0,0,0,0,2
SYK,0,0,1,1,0,1,0,0,0,0,3
ATG16L2,0,0,0,1,1,0,0,0,0,0,2
DDX25,0,0,1,0,0,1,0,1,0,0,3
UBE2J1,0,0,0,0,1,1,0,0,0,0,2
UBA7,0,0,1,0,0,0,0,0,0,0,1
BCAP29,0,0,1,0,1,0,0,0,0,0,2
TMCC2,0,0,1,0,1,1,0,0,0,0,3
UBE2N,0,0,2,0,1,1,1,0,0,0,5
RIPK2,0,0,1,1,0,1,0,0,0,0,3
C1D,0,0,1,0,1,1,0,0,0,0,3
COQ5,0,0,0,1,1,2,0,0,0,0,4
UBE2G1,0,0,0,0,0,0,1,0,0,0,1
RNF5,0,0,1,1,2,1,0,0,0,0,5
NGLY1,0,0,2,0,0,1,0,0,0,0,3
MAVS,0,0,0,0,2,0,1,1,0,0,4
NOSIP,0,0,1,0,0,2,0,0,0,0,3
OTULIN,0,0,1,0,0,0,0,0,0,0,1
KHDRBS2,0,0,0,0,0,1,0,0,0,0,1
PCSK9,0,0,6,1,1,3,0,2,2,0,15
PCSK2,0,0,2,0,2,0,0,1,0,0,5
PCSK7,0,0,0,0,1,1,0,0,0,0,2
PCSK4,0,0,0,0,1,1,0,1,0,0,3
NAPG,0,0,0,1,0,1,1,1,0,0,4
UBE2D2,0,0,0,0,0,1,1,0,0,0,2
UBE2D1,0,0,1,0,0,1,0,0,0,0,2
SETBP1,0,0,0,0,0,1,0,0,0,0,1
CCDC50,0,0,1,0,0,0,0,0,0,0,1
RAI1,0,0,1,0,0,1,0,0,0,0,2
SEC24D,0,0,1,0,2,0,0,1,0,0,4
SEC24A,0,0,1,0,1,0,0,1,0,0,3
SEC24C,0,0,1,0,1,0,0,1,0,0,3
SEC24B,0,0,1,0,1,0,0,1,0,0,3
MPHOSPH8,0,0,1,1,0,1,0,0,0,0,3
NSD1,0,0,1,0,0,1,0,0,0,0,2
ZNF436,0,0,0,0,0,1,0,0,0,0,1
STX4,0,0,5,1,2,2,2,1,0,0,13
CPN2,0,0,2,1,0,0,1,0,0,0,4
EVC2,0,0,1,1,0,2,0,0,0,0,4
TBKBP1,0,0,1,0,0,0,1,0,0,0,2
ATP6AP2,0,0,1,2,1,3,5,5,1,0,18
SMURF1,0,0,1,1,0,0,1,0,0,0,3
SMURF2,0,0,1,1,1,1,0,0,0,0,4
